Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
0,1,FTF + FTT,2041,2041,Landscape Architecture,Utilities,3,,,2,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Construction,21,"$50,377","$52,005",6,"$66,424","$59,046"
0,1,FTF + FTT,2041,2041,Landscape Architecture,Manufacturing,14,"$45,499","$47,167",11,"$39,289","$57,730"
0,1,FTF + FTT,2041,2041,Landscape Architecture,Wholesale Trade,8,"$49,932","$48,209",4,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Retail Trade,21,"$38,106","$37,671",3,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Transportation & Warehousing,7,"$46,794","$44,301",1,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Information,4,,,3,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Finance & Insurance,4,,,2,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Real Estate & Rental & Leasing,2,,,1,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,"Professional, Scientific, & Technical Skills",228,"$61,327","$59,873",105,"$74,958","$72,611"
0,1,FTF + FTT,2041,2041,Landscape Architecture,Management of Companies & Enterprises,1,,,,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Admin & Support & Waste Mgmt & Remediation,74,"$56,226","$53,086",31,"$53,457","$73,698"
0,1,FTF + FTT,2041,2041,Landscape Architecture,Educational Services,8,"$3,940","$21,029",5,"$34,666","$47,828"
0,1,FTF + FTT,2041,2041,Landscape Architecture,Health Care & Social Assistance,7,"$37,872","$44,940",2,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,"Arts, Entertainment, & Recreation",15,"$36,243","$41,060",3,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Accommodation & Food Services,12,"$16,256","$27,889",6,"$23,624","$27,537"
0,1,FTF + FTT,2041,2041,Landscape Architecture,Other Services,1,,,5,"$65,788","$56,555"
0,1,FTF + FTT,2041,2041,Landscape Architecture,Non-Classified,1,,,,,
0,1,FTF + FTT,2041,2041,Landscape Architecture,Government,16,"$72,291","$73,528",16,"$85,881","$81,618"
0,1,FTF + FTT,2041,2041,Landscape Architecture,Wages - No NAICS Code,14,"$88,349","$88,226",17,"$104,203","$99,121"
0,1,FTF + FTT,2061,2061,City and Regional Planning,"Agriculture, Forestry, Fishing, & Hunting",3,,,3,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Utilities,4,,,4,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Construction,25,"$73,162","$73,840",14,"$77,872","$71,036"
0,1,FTF + FTT,2061,2061,City and Regional Planning,Manufacturing,6,"$55,966","$51,699",4,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Wholesale Trade,9,"$45,462","$41,819",6,"$60,535","$68,872"
0,1,FTF + FTT,2061,2061,City and Regional Planning,Retail Trade,11,"$31,604","$29,533",4,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Transportation & Warehousing,12,"$57,348","$51,309",4,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Information,1,,,1,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Finance & Insurance,7,"$38,224","$87,095",3,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Real Estate & Rental & Leasing,10,"$57,042","$88,847",5,"$45,300","$91,259"
0,1,FTF + FTT,2061,2061,City and Regional Planning,"Professional, Scientific, & Technical Skills",88,"$66,259","$65,335",35,"$88,677","$81,826"
0,1,FTF + FTT,2061,2061,City and Regional Planning,Management of Companies & Enterprises,1,,,,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Admin & Support & Waste Mgmt & Remediation,17,"$45,490","$44,706",11,"$34,049","$45,608"
0,1,FTF + FTT,2061,2061,City and Regional Planning,Educational Services,9,"$50,697","$45,322",5,"$34,548","$47,158"
0,1,FTF + FTT,2061,2061,City and Regional Planning,Health Care & Social Assistance,6,"$43,653","$41,311",4,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,"Arts, Entertainment, & Recreation",1,,,,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Accommodation & Food Services,7,"$33,065","$37,118",9,"$31,737","$39,153"
0,1,FTF + FTT,2061,2061,City and Regional Planning,Other Services,5,"$35,927","$51,354",2,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Non-Classified,,,,1,,
0,1,FTF + FTT,2061,2061,City and Regional Planning,Government,140,"$77,151","$78,049",90,"$94,120","$92,366"
0,1,FTF + FTT,2061,2061,City and Regional Planning,Wages - No NAICS Code,10,"$97,782","$86,998",8,"$116,857","$111,623"
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Construction,1,,,1,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Manufacturing,2,,,1,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Wholesale Trade,4,,,,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Retail Trade,5,"$30,419","$27,151",2,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Transportation & Warehousing,2,,,,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Information,4,,,,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Finance & Insurance,4,,,,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,"Professional, Scientific, & Technical Skills",5,"$63,217","$69,317",,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Admin & Support & Waste Mgmt & Remediation,4,,,,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Educational Services,3,,,,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Health Care & Social Assistance,2,,,1,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Accommodation & Food Services,3,,,,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Government,,,,1,,
0,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Wages - No NAICS Code,2,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Retail Trade,4,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Transportation & Warehousing,1,,,1,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Information,1,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Finance & Insurance,2,,,,,
