Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
40,1,FTF + FTT,5061,5061,Management,Admin & Support & Waste Mgmt & Remediation,45,"$47,889","$51,989",4,,
40,1,FTF + FTT,5061,5061,Management,Educational Services,36,"$39,197","$39,051",4,,
40,1,FTF + FTT,5061,5061,Management,Health Care & Social Assistance,28,"$52,734","$51,629",8,"$70,249","$95,705"
40,1,FTF + FTT,5061,5061,Management,"Arts, Entertainment, & Recreation",19,"$27,072","$31,089",2,,
40,1,FTF + FTT,5061,5061,Management,Accommodation & Food Services,49,"$34,318","$38,734",6,"$44,017","$48,792"
40,1,FTF + FTT,5061,5061,Management,Other Services,10,"$35,243","$37,304",1,,
40,1,FTF + FTT,5061,5061,Management,Government,27,"$67,822","$71,469",3,,
40,1,FTF + FTT,5061,5061,Management,Wages - No NAICS Code,7,"$67,711","$77,270",,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Construction,2,,,,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Manufacturing,3,,,1,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Wholesale Trade,6,"$59,881","$73,317",2,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Retail Trade,1,,,,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Transportation & Warehousing,2,,,,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Finance & Insurance,1,,,,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Real Estate & Rental & Leasing,1,,,,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,"Professional, Scientific, & Technical Skills",6,"$72,250","$69,039",,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Admin & Support & Waste Mgmt & Remediation,7,"$73,327","$74,335",1,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Educational Services,3,,,,,
40,1,FTF + FTT,5064,5064,Production and Operations Management,Accommodation & Food Services,1,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Construction,1,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Manufacturing,7,"$36,210","$41,308",,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Wholesale Trade,2,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Retail Trade,7,"$33,367","$30,759",,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Transportation & Warehousing,2,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Information,2,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Finance & Insurance,6,"$51,257","$45,769",1,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Real Estate & Rental & Leasing,4,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,"Professional, Scientific, & Technical Skills",5,"$53,166","$70,120",,,
