Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Government,10,"$48,387","$56,735",6,"$61,323","$63,535"
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Wages - No NAICS Code,2,,,2,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Manufacturing,9,"$63,611","$62,794",4,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Wholesale Trade,1,,,1,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Retail Trade,4,,,2,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Information,1,,,1,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,"Professional, Scientific, & Technical Skills",4,,,2,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Management of Companies & Enterprises,1,,,,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Admin & Support & Waste Mgmt & Remediation,3,,,1,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Educational Services,2,,,,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Health Care & Social Assistance,11,"$42,419","$47,173",6,"$63,157","$59,947"
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,"Arts, Entertainment, & Recreation",1,,,,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Accommodation & Food Services,3,,,1,,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Government,1,,,2,,
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",8,"$60,411","$65,484",8,"$59,983","$73,610"
