guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,
97d457d4-e19f-01d6-9664-df89a0991de4,FTF,Computer Engineering Technology,4500,0.259276,0.28278,0.37070,
a7d734d8-601d-565f-c396-4543ac23eb15,FTF,Computer Engineering Technology,10500,0.312859,0.35353,0.58066,
0c239d67-ebdb-55ac-74f0-8b3a20049bb0,FTF,Computer Science and Information Technology,0,0.260839,0.28007,0.34454,
d9c4f241-6e48-3dde-1d3d-7091e13b08b3,FTF,Computer Science and Information Technology,4500,0.291163,0.31729,0.41546,
4f0f5759-a0d4-d987-2f45-f00bc9a3fd25,FTF,Computer Science and Information Technology,10500,0.350793,0.39623,0.65483,
457ee9fd-84d3-b1e6-ba05-32e42ec4828e,FTF,Construction Engineering Technology,0,0.294657,0.31649,0.39022,
c2141ded-9348-7af1-285b-21497b93a315,FTF,Construction Engineering Technology,4500,0.329113,0.35894,0.47234,
0969079b-a700-eb5b-03b9-4f9b6e629265,FTF,Construction Engineering Technology,10500,0.397409,0.44995,0.76004,
62f19d4d-4108-653b-6798-315eebf1b68a,FTF,Creative Writing,0,0.128707,0.13802,0.16815,
1a05b29f-f8b3-018c-82d0-a5863a84d8b5,FTF,Creative Writing,4500,0.143314,0.15560,0.19964,
63e391cb-5f70-213b-f3f1-35d7080d479e,FTF,Creative Writing,10500,0.170996,0.19126,0.29211,
cc920c5d-f282-0170-3717-2d128960fd0f,FTF,Criminal Justice,0,0.181976,0.19555,0.24078,
ee732e4c-e816-cdb3-efbb-555899affbf2,FTF,Criminal Justice,4500,0.203354,0.22170,0.29009,
e19b793d-84c4-1dea-67ce-01dea16ddafb,FTF,Criminal Justice,10500,0.245143,0.27677,0.44950,
d19ff275-da36-565e-34bd-123b86bf2ce3,FTF,Dance,0,0.093363,0.10095,0.12515,
dc053dfd-c22c-00db-e363-dd264a864074,FTF,Dance,4500,0.105246,0.11514,0.14984,
9b460f73-f639-3df9-9c0b-ee80b31f7b4a,FTF,Dance,10500,0.127403,0.14333,0.21844,
45274e22-c5f4-45ec-ecc6-e5a67f7bfb2f,FTF,Dance - Performance,0,0.096003,0.10365,0.12795,
0b3a4d4d-a6f6-50d6-5582-65f8c3c7825a,FTF,Dance - Performance,4500,0.107966,0.11790,0.15261,
aee725c5-e877-7091-385b-1de0fb7a294a,FTF,Dance - Performance,10500,0.130203,0.14612,0.22019,
d0cca90b-c63c-fb6a-5266-c7fa7a466e57,FTF,Deaf Studies,0,0.135210,0.14587,0.18118,
2f087a08-e218-94f0-d1da-5fa4a6fb77aa,FTF,Deaf Studies,4500,0.151985,0.16632,0.21942,
61a68ea8-e4d4-cda7-5446-5b67fe0206a7,FTF,Deaf Studies,10500,0.184573,0.20911,0.34082,
fff5fa86-722d-c267-8989-1f367d6d8743,FTF,Design,0,0.158665,0.17065,0.21032,
337fc24b-59fd-af4d-2432-d43233ea2bc9,FTF,Design,4500,0.177533,0.19364,0.25304,
41a455a4-8891-4b82-bc34-8b15b9dc2909,FTF,Design,10500,0.214123,0.24155,0.38624,
d0bbfab9-f20e-c332-1f6c-14eee2643b1e,FTF,Dietetics/Nutritional Science,0,0.174843,0.18805,0.23186,
a810e30c-a78c-729d-91f0-49823913d607,FTF,Dietetics/Nutritional Science,4500,0.195633,0.21342,0.27919,
9e5fc712-a79d-dfbd-723b-519cfc8376e9,FTF,Dietetics/Nutritional Science,10500,0.236066,0.26645,0.42820,
cc2672fb-2034-a6f0-397e-3cffe10da09e,FTF,Earth Science,0,0.185455,0.19954,0.24636,
01dc5635-6132-4b50-cea0-0500b053df5d,FTF,Earth Science,4500,0.207633,0.22664,0.29708,
60703969-c703-922a-b953-097628de8372,FTF,Earth Science,10500,0.250869,0.28342,0.45745,
18d36b60-cc73-c494-45fd-d3b1f237007a,FTF,Economics,0,0.200183,0.21504,0.26481,
98488bca-ce76-15e8-b502-79f2663fbd76,FTF,Economics,4500,0.223609,0.24377,0.31948,
7455159c-77aa-ae82-2166-f3a66e9e875c,FTF,Economics,10500,0.269630,0.30466,0.50011,
86d6333d-c685-889c-3524-bc4524b6743f,FTF,Education,0,0.148033,0.15841,0.19209,
5c183924-8406-9aef-beba-159d8d89c698,FTF,Education,4500,0.164317,0.17804,0.22739,
a9be4e2e-d622-f94d-11b3-678e6df6afe8,FTF,Education,10500,0.195272,0.21799,0.33161,
7a983a59-2cf0-16e6-fc1b-b9e04f08a1a7,FTF,Electrical Engineering,0,0.270489,0.29110,0.36042,
fd946370-fba7-9c8a-fa53-3e9467347deb,FTF,Electrical Engineering,4500,0.303001,0.33108,0.43700,
6cf4db05-50eb-36de-eff6-fa997552adff,FTF,Electrical Engineering,10500,0.367158,0.41620,0.69838,
6d1a69d7-0722-d44c-106c-a1590e68007a,FTF,Electronic Engineering Technology,0,0.249043,0.26784,0.33121,
e8f4f231-3427-5720-ee8f-1b1775bcdbec,FTF,Electronic Engineering Technology,4500,0.278709,0.30436,0.40140,
a860c00b-8ee4-7f5b-96f1-c20eb5f6d34c,FTF,Electronic Engineering Technology,10500,0.337375,0.38232,0.64030,
b48b419e-582a-e2a0-65bf-dc75f60e68b3,FTF,Engineering Technology,0,0.274200,0.29523,0.36625,
610bc3ae-ddd0-f3b5-f43b-ba08a18808b7,FTF,Engineering Technology,4500,0.307393,0.33613,0.44518,
fe136b10-1c12-97f1-35d8-8b1c72b8ca84,FTF,Engineering Technology,10500,0.373170,0.42369,0.71849,
05444e80-9caa-3d1a-1071-3f220c4f177b,FTF,English,0,0.152015,0.16278,0.19809,
71de97ef-0605-83e5-6d60-da8d4386dab0,FTF,English,4500,0.168939,0.18330,0.23569,
8e878646-c015-8545-f994-0442d4768947,FTF,English,10500,0.201451,0.22561,0.35083,
9e102cbf-5bf2-e3a6-71b8-a9510cba43da,FTF,English Literature,0,0.136578,0.14703,0.18135,
f25e7119-2d45-f097-060c-34140fe66667,FTF,English Literature,4500,0.153010,0.16697,0.21793,
c55a5b92-7ad4-a446-7f4c-20bf7310ece1,FTF,English Literature,10500,0.184622,0.20813,0.32939,
cb2e32d7-e113-55b7-50de-c5944a0ffebf,FTF,Entrepreneurship & Small Business Management,0,0.176422,0.18861,0.22929,
3f4aa2ee-66b5-2d7a-06cc-e80c3b05b7c8,FTF,Entrepreneurship & Small Business Management,4500,0.195624,0.21211,0.27393,
7fb3b192-8d55-8bce-c7f2-991894ba3d2f,FTF,Entrepreneurship & Small Business Management,10500,0.233227,0.26183,0.42107,
dc6a95f7-6e3a-16ff-310c-5ef75b520719,FTF,Environmental and Occupational Health,0,0.216533,0.23271,0.28659,
6f614900-fec7-ee59-8222-f5032a3c7edb,FTF,Environmental and Occupational Health,4500,0.242015,0.26387,0.34522,
33d99555-4b5a-e285-dc70-902e702102a3,FTF,Environmental and Occupational Health,10500,0.291783,0.32939,0.53602,
f463a06d-fc6f-082e-f6d9-cbb25f0c8511,FTF,Environmental Biology & Ecology,0,0.158470,0.17041,0.21019,
2a4f2fbe-8c9b-86f4-d621-14beb6e61489,FTF,Environmental Biology & Ecology,4500,0.177282,0.19341,0.25351,
c7e29243-cb79-db96-23e1-9107977fc394,FTF,Environmental Biology & Ecology,10500,0.214024,0.24181,0.39177,
2899c352-4d8e-a54f-f0c5-b130511ee52c,FTF,Environmental Studies,0,0.166240,0.17879,0.22051,
f001f226-4fac-e264-03d6-58f899bc57ca,FTF,Environmental Studies,4500,0.186001,0.20293,0.26584,
f3bad128-6eb3-9e76-d685-844b0719c2a1,FTF,Environmental Studies,10500,0.224531,0.25361,0.41065,
5feb9c97-0588-9e82-05b8-c22e70a434b0,FTF,Ethnic Studies,0,0.111589,0.12253,0.15872,
4d4bf126-8567-3b42-db4b-f353a004f5b2,FTF,Ethnic Studies,4500,0.128807,0.14351,0.19754,
