Campus,Select Student Path,Select Entry Status,HEGIS At Exit,HEGIS for Tableau,Select Major at Exit,Potential # of Students,Number of Students Still Enrolled,# of Students Found with Earnings in at Least 1 Qtr,Median Annual Earnings in at Least 1 Qtr,# of Students Found with Earnings in all 4 Qtrs,Median Annual Earnings in all 4 Qtrs,Year
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,3,3,,2,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,1,1,,1,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,1,1,,1,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,13061,13061,Dietetics/Nutritional Science,49,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,291,210,"$6,784",112,"$10,973",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,76,61,"$11,333",40,"$16,363",2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,32,26,"$16,723",20,"$17,909",3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,16,13,"$15,320",11,"$20,285",4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,7,6,"$17,067",5,"$18,407",5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,3,2,,1,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,3,2,,1,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,3,1,,1,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,2,1,,1,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,1,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,1,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,1,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15011,15011,English,291,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,19,14,"$7,002",4,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,4,4,,1,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,1,1,,,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,1,1,,,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15021,15021,English Literature,19,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,2,1,,1,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15031,15031,Comparative Literature,2,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,2,,,,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15041,15041,Classics,2,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,14,12,"$6,138",6,"$11,859",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,4,4,,4,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,2,2,,2,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,1,1,,1,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,1,1,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15051,15051,Linguistics,14,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,121,84,"$3,888",30,"$8,861",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,41,32,"$8,731",20,"$14,392",2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,21,18,"$9,865",11,"$21,816",3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,11,10,"$18,782",8,"$19,767",4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,7,6,"$20,936",4,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,1,1,,1,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,1,1,,1,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,1,1,,1,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15061,15061,Speech Communication,121,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,20,13,"$3,279",2,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,6,5,"$11,483",3,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,4,3,,2,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,3,2,,2,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,1,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15071,15071,Creative Writing,20,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,59,42,"$5,883",17,"$10,744",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,20,17,"$7,233",10,"$12,834",2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,12,10,"$6,540",4,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,10,8,"$10,082",6,"$19,497",4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,6,5,"$4,811",3,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,5,5,"$8,663",2,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,1,,1,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,1,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15091,15091,Philosophy,59,1,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,7,4,,2,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,5,4,,2,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,2,1,,,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15101,15101,Religious Studies,7,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,4,2,,,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,1,1,,,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,15991,15991,Humanities,4,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,177,129,"$6,803",69,"$11,122",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,63,50,"$9,202",29,"$14,532",2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,26,21,"$12,885",15,"$14,691",3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,14,10,"$16,879",6,"$20,011",4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,9,7,"$18,657",5,"$21,626",5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,3,3,,2,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,2,2,,1,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,1,1,,1,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17011,17011,Mathematics,177,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,2,2,,,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17021,17021,Statistics,2,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,15,9,"$10,866",7,"$12,362",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,6,5,"$3,451",2,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,3,2,,1,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,2,2,,2,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,2,2,,2,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,1,1,,1,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,1,1,,1,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,1,1,,1,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,1,1,,1,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,17031,17031,Applied Mathematics,15,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,51,34,"$5,427",11,"$12,211",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,16,11,"$5,974",6,"$7,510",2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,9,8,"$8,529",4,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,5,3,,1,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,2,2,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19021,19021,Physics,51,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,1,,,,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19025,19025,Applied Physics,1,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,114,86,"$6,510",41,"$12,196",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,35,22,"$8,120",13,"$10,417",2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,19,12,"$8,821",7,"$9,777",3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,13,6,"$17,314",5,"$18,742",4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,8,6,"$15,283",3,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,8,7,"$14,800",4,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,5,5,"$13,486",3,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,2,1,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,1,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19051,19051,Chemistry,114,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,29,22,"$3,990",7,"$12,948",1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,13,10,"$3,719",2,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,3,2,,1,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,2,1,,,,4
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,5
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,6
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,7
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19141,19141,Geology,29,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19171,19171,Earth Science,2,2,1,,,,1
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19171,19171,Earth Science,2,1,,,,,2
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19171,19171,Earth Science,2,,,,,,3
10 + 40 + 50 + 55 + 70 + 73,3,FTF,19171,19171,Earth Science,2,,,,,,4
