Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
70,Northridge,1,FTF + FTT,05041,05041,Finance,Real Estate & Rental & Leasing,133,"$62,577","$66,377",79,"$83,421","$83,644"
70,Northridge,1,FTF + FTT,05041,05041,Finance,"Professional, Scientific, & Technical Skills",318,"$62,776","$65,792",217,"$87,011","$106,871"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Management of Companies & Enterprises,23,"$63,616","$84,031",10,"$71,120","$71,668"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Admin & Support & Waste Mgmt & Remediation,169,"$50,710","$52,714",84,"$60,687","$88,752"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Educational Services,80,"$54,520","$58,449",65,"$63,435","$64,185"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Health Care & Social Assistance,161,"$36,947","$44,843",130,"$43,091","$55,060"
70,Northridge,1,FTF + FTT,05041,05041,Finance,"Arts, Entertainment, & Recreation",34,"$55,974","$56,585",21,"$57,314","$66,494"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Accommodation & Food Services,53,"$37,600","$44,134",22,"$39,623","$49,121"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Other Services,51,"$50,741","$50,623",30,"$54,902","$56,301"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Non-Classified,7,"$41,152","$43,751",1,,
70,Northridge,1,FTF + FTT,05041,05041,Finance,Government,112,"$65,827","$69,736",97,"$87,634","$87,738"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Wages - No NAICS Code,67,"$13,301","$35,048",49,"$54,746","$62,842"
70,Northridge,1,FTF + FTT,05061,05061,Management,"Agriculture, Forestry, Fishing, & Hunting",11,"$51,984","$51,936",4,,
70,Northridge,1,FTF + FTT,05061,05061,Management,Mining,3,,,,,
70,Northridge,1,FTF + FTT,05061,05061,Management,Utilities,11,"$90,209","$94,281",8,"$112,866","$107,154"
70,Northridge,1,FTF + FTT,05061,05061,Management,Construction,63,"$57,464","$57,372",26,"$68,789","$74,697"
70,Northridge,1,FTF + FTT,05061,05061,Management,Manufacturing,146,"$67,383","$70,116",73,"$85,823","$92,538"
70,Northridge,1,FTF + FTT,05061,05061,Management,Wholesale Trade,132,"$59,856","$73,562",70,"$66,139","$77,854"
70,Northridge,1,FTF + FTT,05061,05061,Management,Retail Trade,229,"$56,032","$57,400",86,"$66,588","$68,528"
70,Northridge,1,FTF + FTT,05061,05061,Management,Transportation & Warehousing,43,"$59,879","$61,546",17,"$79,642","$90,692"
70,Northridge,1,FTF + FTT,05061,05061,Management,Information,141,"$61,969","$68,887",67,"$90,699","$105,270"
70,Northridge,1,FTF + FTT,05061,05061,Management,Finance & Insurance,420,"$62,835","$69,700",201,"$78,728","$92,233"
70,Northridge,1,FTF + FTT,05061,05061,Management,Real Estate & Rental & Leasing,133,"$55,180","$58,050",67,"$69,718","$76,069"
70,Northridge,1,FTF + FTT,05061,05061,Management,"Professional, Scientific, & Technical Skills",211,"$56,584","$65,212",106,"$75,947","$90,892"
70,Northridge,1,FTF + FTT,05061,05061,Management,Management of Companies & Enterprises,14,"$58,421","$54,608",4,,
70,Northridge,1,FTF + FTT,05061,05061,Management,Admin & Support & Waste Mgmt & Remediation,154,"$53,861","$60,527",59,"$70,656","$77,710"
70,Northridge,1,FTF + FTT,05061,05061,Management,Educational Services,87,"$52,174","$48,236",36,"$53,241","$57,158"
70,Northridge,1,FTF + FTT,05061,05061,Management,Health Care & Social Assistance,145,"$41,642","$47,264",82,"$46,165","$63,811"
70,Northridge,1,FTF + FTT,05061,05061,Management,"Arts, Entertainment, & Recreation",40,"$36,830","$39,651",16,"$64,235","$74,351"
70,Northridge,1,FTF + FTT,05061,05061,Management,Accommodation & Food Services,105,"$50,746","$53,336",43,"$55,894","$62,319"
70,Northridge,1,FTF + FTT,05061,05061,Management,Other Services,49,"$53,069","$51,298",21,"$64,625","$120,226"
70,Northridge,1,FTF + FTT,05061,05061,Management,Non-Classified,2,,,1,,
70,Northridge,1,FTF + FTT,05061,05061,Management,Government,92,"$61,158","$70,126",71,"$83,592","$88,042"
70,Northridge,1,FTF + FTT,05061,05061,Management,Wages - No NAICS Code,40,"$34,946","$39,673",23,"$47,940","$60,129"
70,Northridge,1,FTF + FTT,05062,05062,,Wholesale Trade,1,,,,,
70,Northridge,1,FTF + FTT,05062,05062,,Information,1,,,1,,
70,Northridge,1,FTF + FTT,05062,05062,,Finance & Insurance,,,,1,,
70,Northridge,1,FTF + FTT,05062,05062,,"Professional, Scientific, & Technical Skills",1,,,,,
70,Northridge,1,FTF + FTT,05062,05062,,Health Care & Social Assistance,,,,1,,
70,Northridge,1,FTF + FTT,05064,05064,Production and Operations Management,Manufacturing,1,,,,,
70,Northridge,1,FTF + FTT,05064,05064,Production and Operations Management,Wholesale Trade,1,,,1,,
70,Northridge,1,FTF + FTT,05064,05064,Production and Operations Management,Information,1,,,1,,
70,Northridge,1,FTF + FTT,05064,05064,Production and Operations Management,Finance & Insurance,1,,,,,
70,Northridge,1,FTF + FTT,05064,05064,Production and Operations Management,"Professional, Scientific, & Technical Skills",,,,1,,
70,Northridge,1,FTF + FTT,05064,05064,Production and Operations Management,Admin & Support & Waste Mgmt & Remediation,,,,1,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,"Agriculture, Forestry, Fishing, & Hunting",1,,,1,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Mining,1,,,,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Utilities,1,,,1,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Construction,3,,,1,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Manufacturing,34,"$73,918","$77,384",17,"$89,086","$87,933"
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Wholesale Trade,11,"$58,705","$55,934",6,"$66,633","$78,739"
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Retail Trade,19,"$57,517","$58,947",10,"$83,149","$99,866"
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Transportation & Warehousing,5,"$30,484","$42,712",2,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Information,9,"$64,448","$68,858",8,"$61,541","$69,355"
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Finance & Insurance,17,"$55,744","$59,510",7,"$91,037","$82,427"
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Real Estate & Rental & Leasing,3,,,1,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,"Professional, Scientific, & Technical Skills",12,"$65,334","$67,751",2,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Management of Companies & Enterprises,1,,,,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Admin & Support & Waste Mgmt & Remediation,12,"$54,230","$60,727",7,"$37,555","$56,079"
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Educational Services,5,"$32,825","$41,928",5,"$66,230","$66,925"
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Health Care & Social Assistance,7,"$54,781","$48,644",7,"$74,340","$74,285"
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,"Arts, Entertainment, & Recreation",1,,,,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Accommodation & Food Services,6,"$24,598","$26,611",1,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Other Services,2,,,,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Government,4,,,4,,
70,Northridge,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Wages - No NAICS Code,3,,,2,,
70,Northridge,1,FTF + FTT,05091,05091,Marketing,"Agriculture, Forestry, Fishing, & Hunting",5,"$15,169","$22,547",2,,
70,Northridge,1,FTF + FTT,05091,05091,Marketing,Mining,1,,,,,
70,Northridge,1,FTF + FTT,05091,05091,Marketing,Utilities,3,,,4,,
70,Northridge,1,FTF + FTT,05091,05091,Marketing,Construction,40,"$49,845","$55,155",25,"$59,401","$75,950"
70,Northridge,1,FTF + FTT,05091,05091,Marketing,Manufacturing,132,"$69,357","$69,776",81,"$82,690","$88,666"
