Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,"Professional, Scientific, & Technical Skills",21,"$54,669.00","$52,033.00",9,"$61,405.00","$68,056.00"
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Management of Companies & Enterprises,3,,,2,,
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Admin & Support & Waste Mgmt & Remediation,10,"$60,604.00","$73,735.00",2,,
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Educational Services,8,"$18,685.00","$20,694.00",4,,
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Health Care & Social Assistance,8,"$56,183.00","$64,753.00",4,,
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,"Arts, Entertainment, & Recreation",9,"$29,999.00","$36,179.00",4,,
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Accommodation & Food Services,9,"$32,592.00","$30,490.00",3,,
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Other Services,4,,,,,
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Government,19,"$60,764.00","$61,572.00",7,"$61,556.00","$75,128.00"
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Wages - No NAICS Code,4,,,1,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Manufacturing,29,"$59,473.00","$60,830.00",8,"$66,767.00","$73,922.00"
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Wholesale Trade,13,"$66,972.00","$68,810.00",7,"$102,753.00","$94,643.00"
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Retail Trade,4,,,3,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Transportation & Warehousing,1,,,,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Information,1,,,,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,"Professional, Scientific, & Technical Skills",2,,,,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Management of Companies & Enterprises,2,,,2,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Admin & Support & Waste Mgmt & Remediation,1,,,1,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Educational Services,1,,,,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Health Care & Social Assistance,2,,,1,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Accommodation & Food Services,6,"$45,511.00","$40,945.00",2,,
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Government,3,,,1,,
